Sample;dots area;layer area;relative area;d int;l int;relative int
1;31935;92387;0,345665516;21618553;56132310;0,385135638
2;35558;94999;0,374298677;34737053;82616770;0,420460071
3;30101;79173;0,380192742;27603066;65544772;0,421132993
4;31397;93432;0,336041185;27056474;71091684;0,380585639
5;29002;82365;0,352115583;20075819;51599021;0,389073642
6;28867;89663;0,321949968;27779062;76217812;0,364469423
7;37060;100780;0,367731693;33612520;83198868;0,404002131
8;41152;98338;0,418475055;38624326;83553822;0,462268812
9;38788;102866;0,377073085;37111379;87177143;0,425700794
10;33206;88394;0,375658981;26412043;62705794;0,421205782
11;36939;97774;0,377799824;29066348;68699188;0,423095947
12;32934;82330;0,400024292;29718223;66150654;0,44925063
13;28942;83150;0,348069753;28939965;73818885;0,392040126
14;39339;95793;0,41066675;38956554;86064702;0,452642641
15;34543;92216;0,374587924;32073484;77470749;0,414007666
16;30152;92466;0,326087427;29650222;78113513;0,379578652
17;42036;88675;0,474045672;38928030;74818142;0,520302014
18;29170;90237;0,32325986;27010662;71967130;0,375319427
19;25129;92382;0,272011864;26699944;84749991;0,31504362
20;28471;92389;0,308164392;22934399;64778167;0,354045199
21;27576;91412;0,301667177;28127736;80802586;0,348104403
22;26930;91993;0,292739665;21179432;61550532;0,344098277
