"","id","roi","int","index","time","roi_type"
"1","24_05_08_cell7_ch0","1",0.0327,0,0,"Max"
"2","24_05_08_cell7_ch0","1",0.002,1,1,"Max"
"3","24_05_08_cell7_ch0","1",-0.006,2,2,"Max"
"4","24_05_08_cell7_ch0","1",-0.0287,3,3,"Max"
"5","24_05_08_cell7_ch0","1",0.0109,4,4,"Max"
"6","24_05_08_cell7_ch0","1",0.0019,5,5,"Max"
"7","24_05_08_cell7_ch0","1",0.1192,6,6,"Max"
"8","24_05_08_cell7_ch0","1",0.3136,7,7,"Max"
"9","24_05_08_cell7_ch0","1",0.5607,8,8,"Max"
"10","24_05_08_cell7_ch0","1",0.7123,9,9,"Max"
"11","24_05_08_cell7_ch0","1",0.7548,10,10,"Max"
"12","24_05_08_cell7_ch0","1",0.8721,11,11,"Max"
"13","24_05_08_cell7_ch0","1",0.9181,12,12,"Max"
"14","24_05_08_cell7_ch0","1",0.9344,13,13,"Max"
"15","24_05_08_cell7_ch0","1",0.9123,14,14,"Max"
"16","24_05_08_cell7_ch0","1",0.9976,15,15,"Max"
"17","24_05_08_cell7_ch0","1",1.0837,16,16,"Max"
"18","24_05_08_cell7_ch0","1",1.1156,17,17,"Max"
"19","24_05_08_cell7_ch0","1",1.1284,18,18,"Max"
"20","24_05_08_cell7_ch0","1",1.1528,19,19,"Max"
"21","24_05_08_cell7_ch0","1",1.1304,20,20,"Max"
"22","24_05_08_cell7_ch0","1",1.1872,21,21,"Max"
"23","24_05_08_cell7_ch0","1",1.156,22,22,"Max"
"24","24_05_08_cell7_ch0","1",1.1947,23,23,"Max"
"25","24_05_08_cell7_ch0","1",1.2191,24,24,"Max"
"26","24_05_08_cell7_ch0","1",1.2869,25,25,"Max"
"27","24_05_08_cell7_ch0","1",1.2819,26,26,"Max"
"28","24_05_08_cell7_ch0","1",1.2401,27,27,"Max"
"29","24_05_08_cell7_ch0","1",1.1221,28,28,"Max"
"30","24_05_08_cell7_ch0","1",0.9629,29,29,"Max"
"31","24_05_08_cell7_ch0","1",0.9343,30,30,"Max"
"32","24_05_08_cell7_ch0","1",0.8614,31,31,"Max"
"33","24_05_08_cell7_ch0","1",0.6662,32,32,"Max"
"34","24_05_08_cell7_ch0","1",0.6572,33,33,"Max"
"35","24_05_08_cell7_ch0","1",0.5524,34,34,"Max"
"36","24_05_08_cell7_ch0","1",0.4469,35,35,"Max"
"37","24_05_08_cell7_ch0","1",0.4625,36,36,"Max"
"38","24_05_08_cell7_ch0","1",0.5171,37,37,"Max"
"39","24_05_08_cell7_ch0","1",0.4796,38,38,"Max"
"40","24_05_08_cell7_ch0","1",0.4791,39,39,"Max"
"41","24_05_08_cell7_ch0","1",0.4798,40,40,"Max"
"42","24_05_08_cell7_ch0","1",0.351,41,41,"Max"
"43","24_05_08_cell7_ch0","1",0.4555,42,42,"Max"
"44","24_05_08_cell7_ch0","1",0.4008,43,43,"Max"
"45","24_05_08_cell7_ch0","1",0.3376,44,44,"Max"
"46","24_05_08_cell7_ch0","1",0.3219,45,45,"Max"
"47","24_05_08_cell7_ch0","1",0.3125,46,46,"Max"
"48","24_05_08_cell7_ch0","1",0.3509,47,47,"Max"
"49","24_05_08_cell7_ch0","1",0.4172,48,48,"Max"
"50","24_05_08_cell7_ch0","1",0.3546,49,49,"Max"
"51","24_05_08_cell7_ch0","1",0.3624,50,50,"Max"
"52","24_05_08_cell7_ch0","1",0.3496,51,51,"Max"
"53","24_05_08_cell7_ch0","1",0.3204,52,52,"Max"
"54","24_05_08_cell7_ch0","1",0.3332,53,53,"Max"
"55","24_05_08_cell7_ch0","1",0.3803,54,54,"Max"
"56","24_05_08_cell7_ch0","1",0.3061,55,55,"Max"
"57","24_05_08_cell7_ch0","1",0.2498,56,56,"Max"
"58","24_05_08_cell7_ch0","1",0.2836,57,57,"Max"
"59","24_05_08_cell7_ch0","1",0.3761,58,58,"Max"
"60","24_05_08_cell7_ch0","1",0.2922,59,59,"Max"
"61","24_05_08_cell7_ch0","1",0.279,60,60,"Max"
"62","24_05_08_cell7_ch0","2",0.0029,0,0,"Max"
"63","24_05_08_cell7_ch0","2",-0.0091,1,1,"Max"
"64","24_05_08_cell7_ch0","2",0.021,2,2,"Max"
"65","24_05_08_cell7_ch0","2",-0.0148,3,3,"Max"
"66","24_05_08_cell7_ch0","2",0.0272,4,4,"Max"
"67","24_05_08_cell7_ch0","2",0.0275,5,5,"Max"
"68","24_05_08_cell7_ch0","2",0.0707,6,6,"Max"
"69","24_05_08_cell7_ch0","2",0.3025,7,7,"Max"
"70","24_05_08_cell7_ch0","2",0.486,8,8,"Max"
"71","24_05_08_cell7_ch0","2",0.58,9,9,"Max"
"72","24_05_08_cell7_ch0","2",0.6892,10,10,"Max"
"73","24_05_08_cell7_ch0","2",0.7732,11,11,"Max"
"74","24_05_08_cell7_ch0","2",0.7926,12,12,"Max"
"75","24_05_08_cell7_ch0","2",0.8053,13,13,"Max"
"76","24_05_08_cell7_ch0","2",0.8029,14,14,"Max"
"77","24_05_08_cell7_ch0","2",0.8485,15,15,"Max"
"78","24_05_08_cell7_ch0","2",0.855,16,16,"Max"
"79","24_05_08_cell7_ch0","2",0.8902,17,17,"Max"
"80","24_05_08_cell7_ch0","2",0.9092,18,18,"Max"
"81","24_05_08_cell7_ch0","2",0.9446,19,19,"Max"
"82","24_05_08_cell7_ch0","2",0.9453,20,20,"Max"
"83","24_05_08_cell7_ch0","2",0.9999,21,21,"Max"
"84","24_05_08_cell7_ch0","2",0.9701,22,22,"Max"
"85","24_05_08_cell7_ch0","2",0.9568,23,23,"Max"
"86","24_05_08_cell7_ch0","2",1.0299,24,24,"Max"
"87","24_05_08_cell7_ch0","2",1.0308,25,25,"Max"
"88","24_05_08_cell7_ch0","2",1.0122,26,26,"Max"
"89","24_05_08_cell7_ch0","2",1.019,27,27,"Max"
"90","24_05_08_cell7_ch0","2",0.9102,28,28,"Max"
"91","24_05_08_cell7_ch0","2",0.8035,29,29,"Max"
"92","24_05_08_cell7_ch0","2",0.7648,30,30,"Max"
"93","24_05_08_cell7_ch0","2",0.6796,31,31,"Max"
"94","24_05_08_cell7_ch0","2",0.5673,32,32,"Max"
"95","24_05_08_cell7_ch0","2",0.515,33,33,"Max"
"96","24_05_08_cell7_ch0","2",0.4666,34,34,"Max"
"97","24_05_08_cell7_ch0","2",0.3767,35,35,"Max"
"98","24_05_08_cell7_ch0","2",0.4512,36,36,"Max"
"99","24_05_08_cell7_ch0","2",0.476,37,37,"Max"
"100","24_05_08_cell7_ch0","2",0.4737,38,38,"Max"
"101","24_05_08_cell7_ch0","2",0.4149,39,39,"Max"
"102","24_05_08_cell7_ch0","2",0.3382,40,40,"Max"
"103","24_05_08_cell7_ch0","2",0.3169,41,41,"Max"
"104","24_05_08_cell7_ch0","2",0.4175,42,42,"Max"
"105","24_05_08_cell7_ch0","2",0.3371,43,43,"Max"
"106","24_05_08_cell7_ch0","2",0.2785,44,44,"Max"
"107","24_05_08_cell7_ch0","2",0.237,45,45,"Max"
"108","24_05_08_cell7_ch0","2",0.2388,46,46,"Max"
"109","24_05_08_cell7_ch0","2",0.2273,47,47,"Max"
"110","24_05_08_cell7_ch0","2",0.2893,48,48,"Max"
"111","24_05_08_cell7_ch0","2",0.3403,49,49,"Max"
"112","24_05_08_cell7_ch0","2",0.3283,50,50,"Max"
"113","24_05_08_cell7_ch0","2",0.3584,51,51,"Max"
"114","24_05_08_cell7_ch0","2",0.2999,52,52,"Max"
"115","24_05_08_cell7_ch0","2",0.3398,53,53,"Max"
"116","24_05_08_cell7_ch0","2",0.3469,54,54,"Max"
"117","24_05_08_cell7_ch0","2",0.2455,55,55,"Max"
"118","24_05_08_cell7_ch0","2",0.1813,56,56,"Max"
"119","24_05_08_cell7_ch0","2",0.2086,57,57,"Max"
"120","24_05_08_cell7_ch0","2",0.3633,58,58,"Max"
"121","24_05_08_cell7_ch0","2",0.231,59,59,"Max"
"122","24_05_08_cell7_ch0","2",0.1664,60,60,"Max"
"123","24_05_08_cell7_ch0","3",-0.0954,0,0,"Max"
"124","24_05_08_cell7_ch0","3",0.1074,1,1,"Max"
"125","24_05_08_cell7_ch0","3",0.0152,2,2,"Max"
"126","24_05_08_cell7_ch0","3",-0.0272,3,3,"Max"
"127","24_05_08_cell7_ch0","3",-0.0278,4,4,"Max"
"128","24_05_08_cell7_ch0","3",0.03,5,5,"Max"
"129","24_05_08_cell7_ch0","3",0.0475,6,6,"Max"
"130","24_05_08_cell7_ch0","3",0.4169,7,7,"Max"
"131","24_05_08_cell7_ch0","3",0.6881,8,8,"Max"
"132","24_05_08_cell7_ch0","3",0.7403,9,9,"Max"
"133","24_05_08_cell7_ch0","3",0.8137,10,10,"Max"
"134","24_05_08_cell7_ch0","3",0.8829,11,11,"Max"
"135","24_05_08_cell7_ch0","3",0.9163,12,12,"Max"
"136","24_05_08_cell7_ch0","3",0.9358,13,13,"Max"
"137","24_05_08_cell7_ch0","3",0.924,14,14,"Max"
"138","24_05_08_cell7_ch0","3",0.9957,15,15,"Max"
"139","24_05_08_cell7_ch0","3",0.995,16,16,"Max"
"140","24_05_08_cell7_ch0","3",0.9948,17,17,"Max"
"141","24_05_08_cell7_ch0","3",1.0579,18,18,"Max"
"142","24_05_08_cell7_ch0","3",1.0763,19,19,"Max"
"143","24_05_08_cell7_ch0","3",1.0325,20,20,"Max"
"144","24_05_08_cell7_ch0","3",1.0511,21,21,"Max"
"145","24_05_08_cell7_ch0","3",1.0722,22,22,"Max"
"146","24_05_08_cell7_ch0","3",1.0239,23,23,"Max"
"147","24_05_08_cell7_ch0","3",1.1023,24,24,"Max"
"148","24_05_08_cell7_ch0","3",1.104,25,25,"Max"
"149","24_05_08_cell7_ch0","3",1.0607,26,26,"Max"
"150","24_05_08_cell7_ch0","3",1.0778,27,27,"Max"
"151","24_05_08_cell7_ch0","3",0.9459,28,28,"Max"
"152","24_05_08_cell7_ch0","3",0.855,29,29,"Max"
"153","24_05_08_cell7_ch0","3",0.8488,30,30,"Max"
"154","24_05_08_cell7_ch0","3",0.7496,31,31,"Max"
"155","24_05_08_cell7_ch0","3",0.6109,32,32,"Max"
"156","24_05_08_cell7_ch0","3",0.5553,33,33,"Max"
"157","24_05_08_cell7_ch0","3",0.4696,34,34,"Max"
"158","24_05_08_cell7_ch0","3",0.3308,35,35,"Max"
"159","24_05_08_cell7_ch0","3",0.4527,36,36,"Max"
"160","24_05_08_cell7_ch0","3",0.4586,37,37,"Max"
"161","24_05_08_cell7_ch0","3",0.4072,38,38,"Max"
"162","24_05_08_cell7_ch0","3",0.3296,39,39,"Max"
"163","24_05_08_cell7_ch0","3",0.2506,40,40,"Max"
"164","24_05_08_cell7_ch0","3",0.4047,41,41,"Max"
"165","24_05_08_cell7_ch0","3",0.3874,42,42,"Max"
"166","24_05_08_cell7_ch0","3",0.2505,43,43,"Max"
"167","24_05_08_cell7_ch0","3",0.2006,44,44,"Max"
"168","24_05_08_cell7_ch0","3",0.1964,45,45,"Max"
"169","24_05_08_cell7_ch0","3",0.1442,46,46,"Max"
"170","24_05_08_cell7_ch0","3",0.0979,47,47,"Max"
"171","24_05_08_cell7_ch0","3",0.2811,48,48,"Max"
"172","24_05_08_cell7_ch0","3",0.3192,49,49,"Max"
"173","24_05_08_cell7_ch0","3",0.3374,50,50,"Max"
"174","24_05_08_cell7_ch0","3",0.3709,51,51,"Max"
"175","24_05_08_cell7_ch0","3",0.3091,52,52,"Max"
"176","24_05_08_cell7_ch0","3",0.3691,53,53,"Max"
"177","24_05_08_cell7_ch0","3",0.3327,54,54,"Max"
"178","24_05_08_cell7_ch0","3",0.2256,55,55,"Max"
"179","24_05_08_cell7_ch0","3",0.101,56,56,"Max"
"180","24_05_08_cell7_ch0","3",0.0883,57,57,"Max"
"181","24_05_08_cell7_ch0","3",0.1857,58,58,"Max"
"182","24_05_08_cell7_ch0","3",0.1123,59,59,"Max"
"183","24_05_08_cell7_ch0","3",0.0694,60,60,"Max"
"184","24_05_08_cell7_ch0_up","1",0.0103,0,0,"Max"
"185","24_05_08_cell7_ch0_up","1",0.0013,1,1,"Max"
"186","24_05_08_cell7_ch0_up","1",0.005,2,2,"Max"
"187","24_05_08_cell7_ch0_up","1",-0.0166,3,3,"Max"
"188","24_05_08_cell7_ch0_up","1",0.0135,4,4,"Max"
"189","24_05_08_cell7_ch0_up","1",0.0178,5,5,"Max"
"190","24_05_08_cell7_ch0_up","1",0.0287,6,6,"Max"
"191","24_05_08_cell7_ch0_up","1",0.1278,7,7,"Max"
"192","24_05_08_cell7_ch0_up","1",0.1644,8,8,"Max"
"193","24_05_08_cell7_ch0_up","1",0.1638,9,9,"Max"
"194","24_05_08_cell7_ch0_up","1",0.214,10,10,"Max"
"195","24_05_08_cell7_ch0_up","1",0.2095,11,11,"Max"
"196","24_05_08_cell7_ch0_up","1",0.2043,12,12,"Max"
"197","24_05_08_cell7_ch0_up","1",0.2138,13,13,"Max"
"198","24_05_08_cell7_ch0_up","1",0.1949,14,14,"Max"
"199","24_05_08_cell7_ch0_up","1",0.2291,15,15,"Max"
"200","24_05_08_cell7_ch0_up","1",0.2289,16,16,"Max"
"201","24_05_08_cell7_ch0_up","1",0.2138,17,17,"Max"
"202","24_05_08_cell7_ch0_up","1",0.2112,18,18,"Max"
"203","24_05_08_cell7_ch0_up","1",0.2364,19,19,"Max"
"204","24_05_08_cell7_ch0_up","1",0.2024,20,20,"Max"
"205","24_05_08_cell7_ch0_up","1",0.2465,21,21,"Max"
"206","24_05_08_cell7_ch0_up","1",0.2431,22,22,"Max"
"207","24_05_08_cell7_ch0_up","1",0.211,23,23,"Max"
"208","24_05_08_cell7_ch0_up","1",0.2348,24,24,"Max"
"209","24_05_08_cell7_ch0_up","1",0.2316,25,25,"Max"
"210","24_05_08_cell7_ch0_up","1",0.2068,26,26,"Max"
"211","24_05_08_cell7_ch0_up","1",0.205,27,27,"Max"
"212","24_05_08_cell7_ch0_up","1",0.1838,28,28,"Max"
"213","24_05_08_cell7_ch0_up","1",0.1347,29,29,"Max"
"214","24_05_08_cell7_ch0_up","1",0.1664,30,30,"Max"
"215","24_05_08_cell7_ch0_up","1",0.1423,31,31,"Max"
"216","24_05_08_cell7_ch0_up","1",0.1033,32,32,"Max"
"217","24_05_08_cell7_ch0_up","1",0.1142,33,33,"Max"
"218","24_05_08_cell7_ch0_up","1",0.1066,34,34,"Max"
"219","24_05_08_cell7_ch0_up","1",0.0896,35,35,"Max"
"220","24_05_08_cell7_ch0_up","1",0.1203,36,36,"Max"
"221","24_05_08_cell7_ch0_up","1",0.1162,37,37,"Max"
"222","24_05_08_cell7_ch0_up","1",0.076,38,38,"Max"
"223","24_05_08_cell7_ch0_up","1",0.1217,39,39,"Max"
"224","24_05_08_cell7_ch0_up","1",0.0948,40,40,"Max"
